Frase,Sentimento
mulher ideal,Negativo
ela é tão linda,Positivo
ela passa ninguém fica parado,Negativo
você tá foda,Positivo
Você está perdida,Positivo
mulheres bonitas,Positivo
você está dividida,Negativo
ela é tão louca,Negativo
moça rica,Positivo
mulher capaz,Positivo
menina nova,Neutro
mulher viúva,Neutro
mulher casada,Positivo
Você é mais pura,Positivo
Moça delicada,Positivo
Ela é fazendera,Neutro
Menina bonita,Positivo
moça foi cobiçada,Positivo
Maria morta,Positivo
Ela é bela,Positivo
Ela estava infeliz,Negativo
Ela estava deprimida,Negativo
moça igual,Neutro
ela sozinha,Negativo
Ela é culpada,Negativo
Maria doente,Negativo
Ela é tão legal,Positivo
você fique gorda,Negativo
Você é tão bonita,Positivo
Ela é real,Neutro
Menina preciso,Positivo
Ela é predadora,Negativo
você ficar sozinha,Positivo
Você está tão linda,Positivo
ela mesma,Neutro
ela é viciada,Negativo
mulher ruim,Negativo
Ela é gostosa,Negativo
mulher boa,Positivo
menina doida,Negativo
você está arrependida,Negativo
Menina feia,Negativo
ela muscula,Positivo
garota feia,Negativo
você é bonita,Positivo
menina travessa,Positivo
você está convidada,Neutro
ela seja importante,Positivo
Você está linda,Positivo
você está presa,Negativo
ela feliz,Positivo
Maria eram gêmeas,Neutro
ela vai passeá,Neutro
mulher era bonita,Positivo
garota linda,Positivo
você tá arrependida,Negativo
Moça gorda,Neutro
menina inocente,Neutro
ela sendo tão jovem,Neutro
esposa era leviana,Negativo
Ela é considerada,Positivo
dama brasileira,Positivo
Menina ficou doente,Negativo
ela é baiana,Neutro
Ela é bem afinada,Positivo
menina misteriosa,Negativo
você fica cheia,Neutro
ela está desesperada,Negativo
ela distante,Negativo
ela contente,Positivo
ela era tão linda,Positivo
Ela estava tão linda,Positivo
ela for mesmo,Neutro
ela top,Positivo
ela boa,Positivo
ela fica louca,Negativo
ela está contente,Positivo
moças bonitas,Positivo
ela confiante,Positivo
ela é feliz,Positivo
você foi ingrata,Negativo
moça brasileira,Neutro
ela foi vista,Positivo
mulher ficou contente,Positivo
mulher fascinante,Positivo
moça bunita,Positivo
mulher insensível,Negativo
Ela é safada,Negativo
mulher vulgar,Negativo
você tá soltinha,Negativo
ela é danada,Negativo
mulheres vulgares,Negativo
Você é cobra,Negativo
mulher tá largada,Negativo
Você é tão leviana,Negativo
Menina indecente,Negativo
mulher ingrata,Negativo
você foi desprezada,Negativo
você é antipática,Negativo
você era chata,Negativo
Você é tão possessiva,Negativo
Você é tão abusiva,Negativo
você é muito ciumenta,Negativo
Ela é casada,Neutro
Você é obrigada,Negativo
ela fica animadinha,Negativo
Ela é top,Positivo
ela é muito boa,Positivo
você tá sozinha,Positivo
ela tá magoada,Negativo
moça semi-nua,Neutro
ela é muito nova,Neutro
Você vai discar varias,Neutro
mulher direita,Neutro
ela tá sozinha,Neutro
meninas praianas,Positivo
mulher doce,Positivo
ela está feliz,Positivo
Você fica sozinha,Negativo
moça solteirona,Negativo
ela é madura,Positivo
mulher madura,Positivo
ela é muito forte,Positivo
Ela é muito nervosa,Positivo
rainha camponesa,Neutro
moça caprichosa,Positivo
moças namoradeiras,Negativo
Moça feia,Negativo
ela é miss,Positivo
Ela está sempre presente,Positivo
ela é rica,Positivo
ela é pobre,Negativo
Ela é ciumenta,Negativo
mulher pobre,Negativo
ela casô,Positivo
moça é dona,Neutro
mulher namoradeira,Negativo
você é tão linda,Positivo
Ela é tão simplesinha,Negativo
Moça solteira,Negativo
Ela é muito fofinha,Positivo
Ela é muito dengosa,Positivo
você fosse mais sincera,Negativo
moça pequena,Neutro
ela foi morá,Neutro
moça rebelde,Negativo
Ela estava linda,Positivo
ela está comigo,Neutro
menina tá distante,Negativo
menina meiga,Positivo
mulher divórcio,Neutro
você está viva,Positivo
ela ser liberada,Positivo
moça é muito bela,Positivo
Você é tão fugaz,Positivo
ela tarraca,Neutro
Você tá suja,Negativo
elas ficam loucas,Negativo
mulher carinhosa,Positivo
ela é nova,Neutro
moça é livre,Positivo
Você tá ligada,Positivo
você está aí sozinha,Neutro
mulher certa,Positivo
ela foi infeliz,Negativo
mulher maravilha,Positivo
mulher cheia,Neutro
ela tá pirada,Negativo
moça orgulhosa,Positivo
mulher braba,Negativo
Mulheres iguais,Neutro
mulheres são sinceras,Positivo
meninas são descente,Positivo
Ela estava tão divina,Positivo
ela fosse tão maldosa,Negativo
menina doente,Negativo
Maria é muito bonitinho,Positivo
maria bonita,Positivo
Mulher faladeira,Negativo
moça ficou doente,Negativo
moça inocente,Positivo
esposa infiel,Negativo
menina rica,Positivo
ela é grande,Neutro
mulher rica,Positivo
menina inconsciente,Negativo
você é doída,Negativo
mulher falsa,Negativo
Rainha mãe,Neutro
moça ser rica,Neutro
ela é pura,Positivo
Ela foi cruel,Negativo
rainha santa,Neutro
você estava linda,Positivo
você ficar cheia,Neutro
Mulher virtuosa,Positivo
Ela é pequena,Neutro
Mulher barriguda,Negativo
Ela fica cheia,Neutro
Ela foi educada,Positivo
você é tão puta,Negativo
você vai ficar sozinha,Negativo
ela seja bem guardada,Neutro
Mulheres ricas,Positivo
Mulheres pobres,Negativo
você ta tão dispersa,Negativo
mulher estranha,Negativo
mulheres reais,Positivo
você é tão metida,Negativo
Ela é otaku,Neutro
Você é rebelde,Negativo
Você ficou pelada,Neutro
Você ta famosa,Positivo
menina quente,Positivo
Ela quer ser feliz,Positivo
ela é pesada,Neutro
Você estava acompanhada,Neutro
moça carente,Negativo
ela é zarôia,Negativo
ela é pop,Positivo
Ela é simples,Positivo
menina sapeca,Positivo
ela tá feia,Negativo
ela foi franca,Positivo
mulher maravilhosa,Positivo
mulher é mesmo especial,Positivo
ELA ENCOSTAVA,Neutro
mulher carente,Negativo
moça encantadora,Positivo
mulher alta,Positivo
mulher magra,Neutro
Ela é bonita,Positivo
mulher ciumenta,Negativo
ela fica bela,Positivo
Ela tá quase nua,Positivo
ELA COBRA,Neutro
esposa fiel,Positivo
ela inocente,Positivo
ela ficava sozinha,Positivo
mulher é bonita,Positivo
ela firme,Neutro
Você é fingida,Negativo
mulheres estão esperta,Positivo
menina la,Neutro
mulher gostosa,Negativo
mulher chorona,Negativo
Ela é morena,Neutro
mulher comum,Neutro
moça mentira,Negativo
ela nao está boa,Negativo
Ela é tão pura,Positivo
ela ser tão bonita,Positivo
ela é feia,Negativo
mulher é baixinha,Negativo
mulher é mesmo complicada,Negativo
Ela é safada bem pior,Negativo
mulher é boa,Positivo
Mulher sozinha,Neutro
ela é igual,Neutro
mulher é linda,Positivo
Mulher cheirosa,Positivo
Ela é briguenta,Negativo
mulher grande,Neutro
Ela é fértil,Positivo
Ela tá arrumadinha,Positivo
Ela é muito inteligente,Positivo
menina mulher,Positivo
menina carinhosa,Positivo
mulher mimosa,Positivo
moça é fatal,Positivo
ela fica doidinha,Negativo
Você tá comprometida,Neutro
você é nova,Neutro
mulher princesa,Positivo
mulher fina,Positivo
mulher esteril,Negativo
ela foi desprezada,Negativo
moça nova,Neutro
Mulher seja preta,Neutro
elas pretos,Neutro
Você é mesmo caprichosa,Negativo
Você foi fingida,Negativo
mulher errante,Negativo
moça namoradeira,Negativo
você for compreendida,Neutro
Você é comprometida,Neutro
ela estar nervosa,Negativo
ela morta,Negativo
moças era cobiçada,Positivo
Você é muito linda,Positivo
mulheres independentes,Positivo
Ela é especial,Positivo
Ela é diferenciada,Positivo
rainha matogrossense,Neutro
você vai ficar indecisa,Negativo
você fica linda,Positivo
menina é tão bom,Positivo
mulher solteira,Positivo
Ela é tão envolvente,Positivo
Ela é bandida,Positivo
Elas persistentes,Positivo
mulher tranqueira,Negativo
mulher top,Negativo
ela tá fogosa,Negativo
mulher contente,Positivo
ela é dona,Neutro
menina boa,Positivo
mulher confusa,Negativo
ela é tonta,Negativo
menina bonitinha,Positivo
ela tá afim,Neutro
Você é presa,Negativo
Você é presa fácil,Negativo
você é teimosa,Negativo
ela é infeliz,Negativo
mulher infiel,Negativo
Ela é sempre igual,Neutro
você está deitada,Neutro
elas estão loucas,Negativo
Você tá louca,Negativo
mulher independente,Positivo
você fosse má,Negativo
Você é femea,Neutro
Ela é carioca,Neutro
ela é fiel,Positivo
ela é brasileira,Neutro
ela é sambista,Neutro
Ela é poderosa,Positivo
você vai ser bem vinda,Neutro
Ela é moderna,Neutro
Ela é pantera,Neutro
ela vai ser bom,Positivo
Você é pura,Positivo
mulher fogosa,Negativo
ela ligeiro,Positivo
ela judia,Negativo
moça é tão grande,Neutro
Ela é envolvente,Positivo
mulher manequim,Neutro
você é gostosa,Negativo
Ela é comprometida,Neutro
mulher difícil,Negativo
ela fez foi ruim,Negativo
mulher é venenosa,Negativo
mulher é tão cruel,Negativo
ela quer ser boa,Positivo
moça bonitinha,Neutro
moça tava montada,Neutro
moça foi dizêno,Neutro
Você foi feita,Neutro
ela é muito fujona,Negativo
Elas são tão parecidas,Neutro
mulher é independente,Positivo
Ela estava tão bonita,Positivo
garota nova,Neutro
você era errada,Negativo
você está apagada,Negativo
mulher envolvente,Positivo
ela fui feliz,Positivo
Ela foi tão envolvente,Positivo
ela é apaixonada,Positivo
Ela é leoa,Positivo
ela foi infiel,Negativo
mulher mineira,Neutro
mulher goiana,Neutro
mulher baiana,Neutro
mulher baranga,Negativo
Você está tão bela,Positivo
Ela tá louco,Negativo
Ela fica aborrecida,Negativo
Ela é mistério,Negativo
mulher bagunço,Negativo
ela foi capaz,Positivo
ela é astral,Positivo
ela pura,Positivo
Você é muito doida,Negativo
Você é muito louca,Negativo
Você é muito loca,Negativo
você estará perdida,Negativo
ela é rara,Positivo
ela for presa,Negativo
MULHER SOU QUAL,Neutro
Menina estou intrigado,Positivo
Ela é penetrante,Positivo
Menina manhosa,Positivo
você é maluca,Negativo
Mulher feiosa,Negativo
você vai implorar arrependida,Negativo
Ela foi encontrada,Positivo
Ela foi encontrada morta,Negativo
Senhora dona,Neutro
mulher velha,Negativo
Ela está louca,Negativo
mulher bandida,Negativo
Ela ficava la,Neutro
esposa chique,Positivo
Você está cansada,Negativo
Ela é pró,Neutro
ela normal,Neutro
menina faladeira,Negativo
Ela é séria,Positivo
mulher é tão bela,Positivo
ela está ausente,Negativo
mulher tô doidão,Negativo
você é so,Negativo
ela ficaria afim,Neutro
ela é deliciosa,Positivo
Você tá presa,Negativo
Você tá decidida,Positivo
menina baladeira,Negativo
menina descente,Positivo
Você é simpática,Positivo
Você é quase perfeita,Positivo
garota irresistível,Positivo
ela tá ficando nua,Neutro
você é gulosa,Negativo
elas eram tão sujas,Negativo
mulher está grávida,Neutro
mulher é horrível,Negativo
ela estava acordada,Neutro
Você é tão deturpada,Negativo
Ela estava viva,Positivo
ela estava morta,Negativo
Você é muito formosa,Positivo
você é feita,Neutro
Você é tão súbita,Negativo
Você é tão brusca,Negativo
ela era sensacional,Positivo
você é fantástica,Positivo
Você está tão sozinha,Positivo
mulheres nuas,Neutro
ela fui fiel,Positivo
você é gata,Positivo
Ela é vagaba,Positivo
Ela ficou triste,Negativo
ela é fake,Negativo
mulher gato,Positivo
ela pode ser cruel,Negativo
elas malucas,Negativo
ela fica enlouquecida,Negativo
ela confusa,Negativo
você está insatisfeita,Negativo
Menina pura,Positivo
Ela é má,Negativo
ela é maldosa,Negativo
Ela é anarquista,Neutro
ela é terrorista,Neutro
ela é branca,Neutro
Você é cega,Neutro
Você é louca,Negativo
Menina sou dependente,Negativo
você estava errada,Negativo
mulher loira,Neutro
mulher bobeia,Negativo
moça era esperta,Positivo
ela está sozinha,Neutro
Ela estava enfezada,Negativo
Ela estava aborrecida,Negativo
garota bacana,Positivo
garota super-bacana,Positivo
menina brejeira,Neutro
mulher sendo casada,Neutro
ela é amorosa,Positivo
ela está distante,Negativo
Ela é bonitinha,Positivo
Moça branca,Neutro
garota enxuta,Positivo
menina é bandida,Negativo
Ela foi má,Negativo
mulher largo,Neutro
Menina morena,Neutro
Você é bandida,Negativo
mulheres carentes,Negativo
menina tímida,Negativo
ela estava comigo,Neutro
ela pode ser exatamente igual,Neutro
Ela está enganada,Negativo
Ela é cruel,Negativo
mulher é igual,Neutro
Ela arrependida,Negativo
Ela era muito ciumenta,Negativo
mulheres traiçoeiras,Negativo
garota nacional,Neutro
ela triste,Negativo
Você foi culpada,Negativo
Você é aventureira,Positivo
Ela era quase criança,Negativo
você ficou bela,Positivo
ela voltar seremos felizes,Positivo
ela cheia,Neutro
ela tres,Neutro
mulher é capaz,Positivo
você foi transportada,Neutro
você é feliz,Positivo
você é culpada,Negativo
ela preciso,Neutro
Ela é diferente,Neutro
você tá ferrada,Negativo
Você vai ficar louca,Negativo
ela é novinha,Negativo
Ela é delícia,Negativo
Você estava tão linda,Positivo
mulher está sendo mal-amada,Negativo
ela é muito mais bonita,Positivo
Você está grudada,Neutro
mulher real,Negativo
ela tá sentida,Negativo
ela tá resolvida,Positivo
Ela foi enganada,Negativo
ela foi traída,Negativo
ela foi ferida,Negativo
mulher verdadeira,Positivo
Você é tão diferente,Neutro
Você é dona,Positivo
Moça distinta,Positivo
Ela é independente,Positivo
Você está sozinha,Neutro
Ela tá sarada,Positivo
mulher é vaidosa,Positivo
ela é sentimental,Negativo
mulheres champanhe,Neutro
Maria fedida,Neutro
Ela é dark,Negativo
ela é comum,Neutro
ela é viável,Positivo
mulheres famintas,Negativo
Ela é tão rica,Positivo
ela é nobre,Positivo
Ela é colorida,Neutro
Ela é multicolor,Neutro
Ela é formosa,Positivo
ela é cobiçada,Positivo
elas são verdes,Neutro
Menina colorida,Neutro
moça donzela,Positivo
ela é triste,Negativo
você era exata,Positivo
dama louca,Negativo
mulher for casada,Neutro
ela eh bonita,Positivo
Garota espelho,Neutro
garota que parece comigo,Neutro
mulher macia,Positivo
menina boçal,Negativo
você pareciam imensas,Negativo
menina cabocla,Neutro
você é tão bela,Positivo
Menina danadinha,Negativo
garota inocente,Positivo
Ela indiferente,Negativo
Ela é doce,Positivo
Ela ativa,Positivo
Maria era bem discreta,Positivo
Você ficou tão linda,Positivo
menina mineira,Neutro
ela está inocente,Positivo
Ela era bonitinha,Positivo
moça prosa,Neutro
Menina bela,Positivo
você iria ficar tão bonita,Positivo
ela está tão distante,Neutro
mulher fica louca,Negativo
Ela é dengosa,Negativo
Ela larga,Neutro
Ela ta cismada,Negativo
meninas estão loucas,Negativo
mulher quente,Positivo
menina boba,Negativo
menina é muito bela,Positivo
ela está gamada,Negativo
Você tá fantasiada,Positivo
você é tola,Negativo
Ela é tão doce,Positivo
ela é tanta,Neutro
Você é formada,Positivo
mulher inteligente,Positivo
você estava sozinha,Neutro
Menina tola,Negativo
ela tá gostosa,Negativo
ela é muito top,Positivo
Você fica puta,Negativo
moça certa,Positivo
ela tá sempre bela,Positivo
ela é perca total,Positivo
ela suave,Positivo
mulher bela,Positivo
Ela estava mais bonita,Positivo
mulheres comuns,Neutro
Você está bonita,Positivo
ela era muito esperta,Positivo
mulher animal,Negativo
Você vai ser feliz,Positivo
Você tá errada,Negativo
menina eh bandida,Negativo
mulher cachaceira,Negativo
mulher foi feita,Neutro
mulher nua,Negativo
mulher suficiente,Positivo
você foi inacreditável,Positivo
Você é mais bonita,Positivo
Senhora mãe,Neutro
Menina mãe,Neutro
ela ficou tão insegura,Negativo
Ela está baratinada,Negativo
ela está desengonçada,Negativo
ela está muito abatida,Negativo
Ela está triste,Negativo
ela está tão esquisita,Negativo
ela está tão insegura,Negativo
ela velha,Negativo
mulher amada,Neutro
Mulheres são legais,Positivo
Mulheres sabem ser fatais,Positivo
elas são tão iguais,Neutro
Ela é iniciada,Neutro
ela estava inocente,Positivo
Você está sempre cheia,Negativo
moça tá diferente,Neutro
moça tá decidida,Positivo
você fica cheirosa,Positivo
ela é tão boa,Positivo
mulher exuberante,Positivo
menina louca,Negativo
Mulheres confusas,Negativo
mulheres são morenas,Neutro
mulher guerreira,Positivo
Ela é livre,Positivo
mulher é pior,Negativo
mulher velho,Negativo
mulher robô,Neutro
você estava la,Neutro
Ela está amarrada,Negativo
Ela é tensa,Negativo
Ela tem andado meio frígida,Negativo
Ela está bem diferente,Neutro
mulher quer ser feliz,Positivo
mulher é meio,Neutro
rainhas decadentes,Negativo
Rainha anarquista,Neutro
moça simples,Neutro
Mulheres locomotivas,Neutro
ela é véri,Neutro
mulher tá acabada,Negativo
Mulher amante,Negativo
Ela puro,Neutro
ela louca,Negativo
mulheres são especiais,Positivo
rainha soberana,Positivo
Ela tá preparada,Positivo
Ela tá revoltada,Negativo
Ela tá pronta,Positivo
Ela é pipa,Neutro
Ela é debochada,Negativo
ela é orgulhosa,Negativo
rainha cafusa,Neutro
Você estava tão bonita,Positivo
rainha eterna,Neutro
Você é necessária,Positivo
mulher fica nervosa,Negativo
mulher é ciumenta,Negativo
Ela fica enfezada,Negativo
Ela foi lobo,Negativo
moça esperta,Positivo
você está bela,Positivo
ela quis ser muito esperta,Positivo
voce é louca,Negativo
Maria fui criada,Neutro
moça larga,Negativo
Você fica tão perfeita,Positivo
menina triste,Negativo
ela foi tão volúvel,Negativo
maria preta,Neutro
ela foi carregada,Neutro
esposa era estéril,Negativo
esposa carinhosa,Positivo
rainha enfrente,Neutro
Você é malvada,Negativo
ela ser afamada,Positivo
ela estou vestido,Neutro
Menina ficou tristonha,Negativo
Ela fica nervosa,Negativo
mulher amanda,Neutro
Ela foi iludida,Negativo
você ficasse alegre,Positivo
Você está enganada,Negativo
ela mamãe,Neutro
moça seja séria,Positivo
ela sou tão feliz,Positivo
esposa sincera,Positivo
ela era tirana,Negativo
mulher é rica,Positivo
ela está muito contente,Positivo
Você é briguenta,Negativo
Você é nervosa,Negativo
Ela tá ferida,Negativo
Você é meiga,Positivo
Você é bonitinha,Positivo
elas preciso,Neutro
Você está suja,Negativo
mulher desquitada é livre,Positivo
Ela tá machucada,Negativo
Você é absoluta,Positivo
você fosse japonesa,Neutro
você tá indecisa,Negativo
você vai ficar vermelha,Neutro
Ela tá doida,Negativo
Ela tá louca,Negativo
Ela é mais popular,Positivo
meninas loucas,Negativo
ela é terrível,Negativo
ela é patricinha,Negativo
Garotas inocentes,Positivo
Você é mais preciosa,Positivo
Mulher é mesmo diferente,Neutro
menina séria,Positivo
ela é doida,Negativo
Você é tão iluminada,Positivo
ela fica gostosa,Positivo
mulher tava armada,Positivo
ela é comportada,Positivo
você é querida,Positivo
menina cheirosa,Positivo
ela mãe,Neutro
ela estava desfalecida,Negativo
Ela é magrinha,Negativo
você vai ficar perdida,Negativo
Ela é jovem,Positivo
moça competente,Positivo
ela pasmado,Negativo
Mulheres ficam gamada,Positivo
você ficou velhinha,Negativo
você era feia,Negativo
ela fosse pobre,Negativo
Ela era diferente,Neutro
mulher fácil,Negativo
moça é muito rica,Positivo
ela seria mais amarga,Negativo
ela índia,Neutro
você for desprezada,Negativo
moça brejeira,Negativo
Menina charmosa,Positivo
garota sapeca,Negativo
ela vou viver feliz,Positivo
Ela é turbinada,Positivo
mulher ficar perfeita,Positivo
menina ofegante,Neutro
elas são tão belas,Positivo
moças donzelas,Positivo
Moça boa,Positivo
ela ser audaz,Positivo
mulheres resistentes,Positivo
Você é mãe,Neutro
Ela era virgem,Positivo
moça bacana,Positivo
moça apressada,Negativo
moça sozinha,Negativo
Ela é cadente,Negativo
moça é sozinha,Negativo
moça direita,Positivo
ela é algodão,Neutro
Você é sozinha,Negativo
moça estranha,Negativo
você era mais loura,Neutro
ela vivo,Neutro
Você é muito mais bela,Positivo
ela era bem bonitinha,Positivo
moça triste,Negativo
menina é louca,Negativo
Ela é tão bonita,Positivo
Meninas iguais,Neutro
ela inteira,Neutro
Mulheres respondonas,Negativo
mulher estridente,Negativo
ela é acusada,Negativo
Ela é mais sentimental,Negativo
menina é sinistra,Negativo
menina aflita,Negativo
ela roda é nova,Neutro
Você é criança,Neutro
ela era impiedosa,Positivo
menina ruiva,Neutro
senhora condessa,Positivo
menina esguia,Positivo
ela é cheia,Neutro
mulher é comum,Negativo
Maria é muito prosa,Neutro
moça é capaz,Positivo
mulher feliz,Positivo
Ela é surda,Neutro
Ela é cega,Neutro
ela é burra,Negativo
você era linda,Positivo
ela seja linda,Positivo
mulher normal,Neutro
mulher global,Neutro
você era humana,Neutro
Ela é populosa,Positivo
Menina pobre,Negativo
mulher desinibida,Positivo
mulheres ficaram estéreis,Negativo
Ela fica muito louca,Negativo
Menina gostosinha,Negativo
você é safadinha,Negativo
Ela é guerreira,Positivo
Ela é discreta,Positivo
Ela pode ser bonita,Positivo
Menina é muito triste,Negativo
mulher decente,Positivo
você é livre,Positivo
Menina bacana,Positivo
moça pantaneira,Neutro
mulher companheira,Positivo
você está tão fria,Negativo
mulher sentimental,Negativo
mulher fatal,Negativo
ELA SAIU,Neutro
você fica tão bonita,Positivo
Menina maluquinha,Negativo
Você esteve tão perto perfeita,Positivo
você é carente,Negativo
Você é confusa,Negativo
mulher faceira,Positivo
elas ficam louca,Negativo
moça sincera,Positivo
meninas ficam louca,Negativo
Ela é exigente,Negativo
menina exigente,Negativo
rainha mato-grossense,Neutro
ela tini,Neutro
ela casada,Neutro
você seja admirada,Positivo
mulher honesta,Positivo
Você está tão viva,Neutro
moça alegre,Positivo
mulher bunita,Positivo
Ela é formada,Positivo
Você tava acostumada,Positivo
ela fica feliz,Positivo
ela eu fico louco,Negativo
moça crente,Neutro
mulher explosiva,Negativo
mulher é atoa,Negativo
ela é tranqueira,Negativo
mulher baixinha,Negativo
mulher usguenta,Negativo
ela ser feliz,Positivo
ela é vulgar,Negativo
você tá estressada,Negativo
ela é pistoleira,Negativo
Ela é ligeira,Positivo
ela tá comigo,Neutro
mulher é fatal,Negativo
ela foi malvada,Negativo
mulher xucra,Negativo
mulher sensacional,Positivo
Garota boa,Positivo
garota roxa,Neutro
dama divinal,Positivo
moça decente,Positivo
Ela foi culpada,Negativo
Ela deve estar bem consciente,Positivo
moças gentis,Positivo
menina amarela,Neutro
Rainha negra,Neutro
mulheres somos maiorais,Positivo
rainha senhora,Positivo
mulher é muito boa,Positivo
Maria escandalosa,Negativo
menina franzina,Negativo
Ela nervosa,Negativo
senhora divina,Positivo
elaS são rainhas,Positivo
ela é pleno,Positivo
Ela é total,Positivo
você ficar prosa,Negativo
você fosse sincera,Positivo
moças flores,Positivo
menina caprichosa,Positivo
mulher é chata,Negativo
mulher tá gorda,Negativo
você era tão bonita,Positivo
Ela é humana,Neutro
você foi tão clara,Positivo
Você é rara,Positivo
ela é sábia,Positivo
Você estava enganada,Negativo
Ela tá muito louca,Negativo
garota parecia forte,Positivo
ela está carregada,Neutro
ela bela,Positivo
ela é palestina,Neutro
Você fica bem melhor,Positivo
ela é chamada,Neutro
mulher irmão,Neutro
Ela pode ser mínima,Neutro
Menina incerte,Negativo
menina direita,Positivo
ela é belém,Neutro
Ela era tão bonita,Positivo
ela foi sequestrada,Negativo
senhora datilógrafa,Neutro
ela quica,Negativo
mulher fria,Negativo
mulheres negras,Neutro
Você está tão bonita,Positivo
Ela é sinistra,Negativo
ela é sagaz,Positivo
ela é badauê,Positivo
Ela é fumeta,Negativo
Você foi desenhada,Positivo
ela incrivel,Positivo
menina loca,Negativo
donzelas tímidas,Negativo
Você é galinha,Negativo
Você tá bonita,Positivo
mulheres incríveis,Positivo
ela foi falecida,Negativo
Ela é imponente,Positivo
Você fica nervosa,Negativo
Você estava tão segura,Positivo
você é desumana,Negativo
ela está afim,Positivo
ela é violenta,Negativo
menina loucura,Negativo
Ela foi muito maldosa,Negativo
ela é legal,Positivo
Você está sempre presente,Positivo
moça fiel,Positivo
Ela foi bandida,Negativo
mulher são igual,Neutro
elas preto,Neutro
Você é gordinha,Negativo
moça bruta,Negativo
ela tá desconfiada,Negativo
moça namorista,Negativo
moças namoradeira,Negativo
Menina presa,Negativo
mulher tá cansada,Negativo
Você ta ficando louca,Negativo
ela é verdadeira,Negativo
ela está concordada,Neutro
menina namoradeira,Negativo
meninas carinhosas,Positivo
Ela quer ser bacana,Positivo
você estava apaixonada,Positivo
você estão fechadas,Negativo
ela fica mais bonita,Positivo
ELA É MUITO ATRAENTE,Positivo
ela sou feliz,Positivo
Ela é virgem,Neutro
ela é vidrada,Negativo
ela é muito triste,Negativo
ela é forte,Positivo
Você tá pirada,Negativo
mulher somos apenas bons,Neutro
ela é muito gostosa,Negativo
mulheres é bom,Positivo
mulher sensual,Negativo
Menina moça,Positivo
Ela foi bem criada,Positivo
mulher descobre é chumbo,Negativo
Ela tá virada,Negativo
você ficar doidinha,Negativo
ela é quente,Negativo
Você tá maluca,Negativo
Menina faceira,Positivo
menina é papapa,Positivo
ela está disposta,Positivo
Ela tá colecionando bobo,Negativo
ela estava ausente,Negativo
Você tá proibida,Negativo
você está apaixonada,Positivo
Ela ficou amassadinha,Negativo
mulher traiçoeira,Negativo
Mulher iguais,Neutro
mulher clara,Positivo
Mulher é bom,Positivo
mulher é fácil,Positivo
moça era milionária,Positivo
garota manhosa,Positivo
Ela é alérgica,Negativo
